DAY_DATE,YEAR,MONTH,MONTH_NAME,DAY_OF_MON,DAY_OF_WEEK,WEEK_OF_YEAR,DAY_OF_YEAR
2000-07-10,2000,7,Jul,10,1,28,192
2000-07-11,2000,7,Jul,11,2,28,193
2000-07-12,2000,7,Jul,12,3,28,194
2000-07-13,2000,7,Jul,13,4,28,195
2000-07-14,2000,7,Jul,14,5,28,196
2000-07-15,2000,7,Jul,15,6,28,197
2000-07-16,2000,7,Jul,16,0,28,198
2000-07-17,2000,7,Jul,17,1,29,199
2000-07-18,2000,7,Jul,18,2,29,200
2000-07-19,2000,7,Jul,19,3,29,201
2000-07-20,2000,7,Jul,20,4,29,202
2000-07-21,2000,7,Jul,21,5,29,203
2000-07-22,2000,7,Jul,22,6,29,204
2000-07-23,2000,7,Jul,23,0,29,205
2000-07-24,2000,7,Jul,24,1,30,206
2000-07-25,2000,7,Jul,25,2,30,207
2000-07-26,2000,7,Jul,26,3,30,208
2000-07-27,2000,7,Jul,27,4,30,209
2000-07-28,2000,7,Jul,28,5,30,210
2000-07-29,2000,7,Jul,29,6,30,211
2000-07-30,2000,7,Jul,30,0,30,212
2000-07-31,2000,7,Jul,31,1,31,213
2000-08-01,2000,8,Aug,1,2,31,214
2000-08-02,2000,8,Aug,2,3,31,215
2000-08-03,2000,8,Aug,3,4,31,216
2000-08-04,2000,8,Aug,4,5,31,217
2000-08-05,2000,8,Aug,5,6,31,218
2000-08-06,2000,8,Aug,6,0,31,219
2000-08-07,2000,8,Aug,7,1,32,220
2000-08-08,2000,8,Aug,8,2,32,221
2000-08-09,2000,8,Aug,9,3,32,222
2000-08-10,2000,8,Aug,10,4,32,223
2000-08-11,2000,8,Aug,11,5,32,224
2000-08-12,2000,8,Aug,12,6,32,225
2000-08-13,2000,8,Aug,13,0,32,226
2000-08-14,2000,8,Aug,14,1,33,227
2000-08-15,2000,8,Aug,15,2,33,228
2000-08-16,2000,8,Aug,16,3,33,229
2000-08-17,2000,8,Aug,17,4,33,230
2000-08-18,2000,8,Aug,18,5,33,231
2000-08-19,2000,8,Aug,19,6,33,232
2000-08-20,2000,8,Aug,20,0,33,233
2000-08-21,2000,8,Aug,21,1,34,234
2000-08-22,2000,8,Aug,22,2,34,235
2000-08-23,2000,8,Aug,23,3,34,236
2000-08-24,2000,8,Aug,24,4,34,237
2000-08-25,2000,8,Aug,25,5,34,238
2000-08-26,2000,8,Aug,26,6,34,239
2000-08-27,2000,8,Aug,27,0,34,240
2000-08-28,2000,8,Aug,28,1,35,241
2000-08-29,2000,8,Aug,29,2,35,242
2000-08-30,2000,8,Aug,30,3,35,243
2000-08-31,2000,8,Aug,31,4,35,244
2000-09-01,2000,9,Sep,1,5,35,245
2000-09-02,2000,9,Sep,2,6,35,246
2000-09-03,2000,9,Sep,3,0,35,247
2000-09-04,2000,9,Sep,4,1,36,248
2000-09-05,2000,9,Sep,5,2,36,249
2000-09-06,2000,9,Sep,6,3,36,250
2000-09-07,2000,9,Sep,7,4,36,251
2000-09-08,2000,9,Sep,8,5,36,252
2000-09-09,2000,9,Sep,9,6,36,253
2000-09-10,2000,9,Sep,10,0,36,254
2000-09-11,2000,9,Sep,11,1,37,255
2000-09-12,2000,9,Sep,12,2,37,256
2000-09-13,2000,9,Sep,13,3,37,257
2000-09-14,2000,9,Sep,14,4,37,258
2000-09-15,2000,9,Sep,15,5,37,259
2000-09-16,2000,9,Sep,16,6,37,260
2000-09-17,2000,9,Sep,17,0,37,261
2000-09-18,2000,9,Sep,18,1,38,262
2000-09-19,2000,9,Sep,19,2,38,263
2000-09-20,2000,9,Sep,20,3,38,264
2000-09-21,2000,9,Sep,21,4,38,265
2000-09-22,2000,9,Sep,22,5,38,266
2000-09-23,2000,9,Sep,23,6,38,267
2000-09-24,2000,9,Sep,24,0,38,268
2000-09-25,2000,9,Sep,25,1,39,269
2000-09-26,2000,9,Sep,26,2,39,270
2000-09-27,2000,9,Sep,27,3,39,271
2000-09-28,2000,9,Sep,28,4,39,272
2000-09-29,2000,9,Sep,29,5,39,273
2000-09-30,2000,9,Sep,30,6,39,274
2000-10-01,2000,10,Oct,1,0,39,275
2000-10-02,2000,10,Oct,2,1,40,276
2000-10-03,2000,10,Oct,3,2,40,277
2000-10-04,2000,10,Oct,4,3,40,278
2000-10-05,2000,10,Oct,5,4,40,279
2000-10-06,2000,10,Oct,6,5,40,280
2000-10-07,2000,10,Oct,7,6,40,281
2000-10-08,2000,10,Oct,8,0,40,282
2000-10-09,2000,10,Oct,9,1,41,283
2000-10-10,2000,10,Oct,10,2,41,284
2000-10-11,2000,10,Oct,11,3,41,285
2000-10-12,2000,10,Oct,12,4,41,286
2000-10-13,2000,10,Oct,13,5,41,287
2000-10-14,2000,10,Oct,14,6,41,288
2000-10-15,2000,10,Oct,15,0,41,289
2000-10-16,2000,10,Oct,16,1,42,290
2000-10-17,2000,10,Oct,17,2,42,291
2000-10-18,2000,10,Oct,18,3,42,292
2000-10-19,2000,10,Oct,19,4,42,293
2000-10-20,2000,10,Oct,20,5,42,294
2000-10-21,2000,10,Oct,21,6,42,295
2000-10-22,2000,10,Oct,22,0,42,296
2000-10-23,2000,10,Oct,23,1,43,297
2000-10-24,2000,10,Oct,24,2,43,298
2000-10-25,2000,10,Oct,25,3,43,299
2000-10-26,2000,10,Oct,26,4,43,300
2000-10-27,2000,10,Oct,27,5,43,301
2000-10-28,2000,10,Oct,28,6,43,302
2000-10-29,2000,10,Oct,29,0,43,303
2000-10-30,2000,10,Oct,30,1,44,304
2000-10-31,2000,10,Oct,31,2,44,305
2000-11-01,2000,11,Nov,1,3,44,306
2000-11-02,2000,11,Nov,2,4,44,307
2000-11-03,2000,11,Nov,3,5,44,308
2000-11-04,2000,11,Nov,4,6,44,309
2000-11-05,2000,11,Nov,5,0,44,310
2000-11-06,2000,11,Nov,6,1,45,311
2000-11-07,2000,11,Nov,7,2,45,312
2000-11-08,2000,11,Nov,8,3,45,313
2000-11-09,2000,11,Nov,9,4,45,314
2000-11-10,2000,11,Nov,10,5,45,315
2000-11-11,2000,11,Nov,11,6,45,316
2000-11-12,2000,11,Nov,12,0,45,317
2000-11-13,2000,11,Nov,13,1,46,318
2000-11-14,2000,11,Nov,14,2,46,319
2000-11-15,2000,11,Nov,15,3,46,320
2000-11-16,2000,11,Nov,16,4,46,321
2000-11-17,2000,11,Nov,17,5,46,322
2000-11-18,2000,11,Nov,18,6,46,323
2000-11-19,2000,11,Nov,19,0,46,324
2000-11-20,2000,11,Nov,20,1,47,325
2000-11-21,2000,11,Nov,21,2,47,326
2000-11-22,2000,11,Nov,22,3,47,327
2000-11-23,2000,11,Nov,23,4,47,328
2000-11-24,2000,11,Nov,24,5,47,329
2000-11-25,2000,11,Nov,25,6,47,330
2000-11-26,2000,11,Nov,26,0,47,331
2000-11-27,2000,11,Nov,27,1,48,332
2000-11-28,2000,11,Nov,28,2,48,333
2000-11-29,2000,11,Nov,29,3,48,334
2000-11-30,2000,11,Nov,30,4,48,335
2000-12-01,2000,12,Dec,1,5,48,336
2000-12-02,2000,12,Dec,2,6,48,337
2000-12-03,2000,12,Dec,3,0,48,338
2000-12-04,2000,12,Dec,4,1,49,339
2000-12-05,2000,12,Dec,5,2,49,340
2000-12-06,2000,12,Dec,6,3,49,341
2000-12-07,2000,12,Dec,7,4,49,342
2000-12-08,2000,12,Dec,8,5,49,343
2000-12-09,2000,12,Dec,9,6,49,344
2000-12-10,2000,12,Dec,10,0,49,345
2000-12-11,2000,12,Dec,11,1,50,346
2000-12-12,2000,12,Dec,12,2,50,347
2000-12-13,2000,12,Dec,13,3,50,348
2000-12-14,2000,12,Dec,14,4,50,349
2000-12-15,2000,12,Dec,15,5,50,350
2000-12-16,2000,12,Dec,16,6,50,351
2000-12-17,2000,12,Dec,17,0,50,352
2000-12-18,2000,12,Dec,18,1,51,353
2000-12-19,2000,12,Dec,19,2,51,354
2000-12-20,2000,12,Dec,20,3,51,355
2000-12-21,2000,12,Dec,21,4,51,356
2000-12-22,2000,12,Dec,22,5,51,357
2000-12-23,2000,12,Dec,23,6,51,358
2000-12-24,2000,12,Dec,24,0,51,359
2000-12-25,2000,12,Dec,25,1,52,360
2000-12-26,2000,12,Dec,26,2,52,361
2000-12-27,2000,12,Dec,27,3,52,362
2000-12-28,2000,12,Dec,28,4,52,363
2000-12-29,2000,12,Dec,29,5,52,364
2000-12-30,2000,12,Dec,30,6,52,365
2000-12-31,2000,12,Dec,31,0,52,366
2001-01-01,2001,1,Jan,1,1,1,1
2001-01-02,2001,1,Jan,2,2,1,2
2001-01-03,2001,1,Jan,3,3,1,3
2001-01-04,2001,1,Jan,4,4,1,4
2001-01-05,2001,1,Jan,5,5,1,5
2001-01-06,2001,1,Jan,6,6,1,6
2001-01-07,2001,1,Jan,7,0,1,7
2001-01-08,2001,1,Jan,8,1,2,8
2001-01-09,2001,1,Jan,9,2,2,9
2001-01-10,2001,1,Jan,10,3,2,10
2001-01-11,2001,1,Jan,11,4,2,11
2001-01-12,2001,1,Jan,12,5,2,12
2001-01-13,2001,1,Jan,13,6,2,13
2001-01-14,2001,1,Jan,14,0,2,14
2001-01-15,2001,1,Jan,15,1,3,15
2001-01-16,2001,1,Jan,16,2,3,16
2001-01-17,2001,1,Jan,17,3,3,17
2001-01-18,2001,1,Jan,18,4,3,18
2001-01-19,2001,1,Jan,19,5,3,19
2001-01-20,2001,1,Jan,20,6,3,20
2001-01-21,2001,1,Jan,21,0,3,21
2001-01-22,2001,1,Jan,22,1,4,22
2001-01-23,2001,1,Jan,23,2,4,23
2001-01-24,2001,1,Jan,24,3,4,24
2001-01-25,2001,1,Jan,25,4,4,25
2001-01-26,2001,1,Jan,26,5,4,26
2001-01-27,2001,1,Jan,27,6,4,27
2001-01-28,2001,1,Jan,28,0,4,28
2001-01-29,2001,1,Jan,29,1,5,29
2001-01-30,2001,1,Jan,30,2,5,30
2001-01-31,2001,1,Jan,31,3,5,31
2001-02-01,2001,2,Feb,1,4,5,32
2001-02-02,2001,2,Feb,2,5,5,33
2001-02-03,2001,2,Feb,3,6,5,34
2001-02-04,2001,2,Feb,4,0,5,35
2001-02-05,2001,2,Feb,5,1,6,36
2001-02-06,2001,2,Feb,6,2,6,37
2001-02-07,2001,2,Feb,7,3,6,38
2001-02-08,2001,2,Feb,8,4,6,39
2001-02-09,2001,2,Feb,9,5,6,40
2001-02-10,2001,2,Feb,10,6,6,41
2001-02-11,2001,2,Feb,11,0,6,42
2001-02-12,2001,2,Feb,12,1,7,43
2001-02-13,2001,2,Feb,13,2,7,44
2001-02-14,2001,2,Feb,14,3,7,45
2001-02-15,2001,2,Feb,15,4,7,46
2001-02-16,2001,2,Feb,16,5,7,47
2001-02-17,2001,2,Feb,17,6,7,48
2001-02-18,2001,2,Feb,18,0,7,49
2001-02-19,2001,2,Feb,19,1,8,50
2001-02-20,2001,2,Feb,20,2,8,51
2001-02-21,2001,2,Feb,21,3,8,52
2001-02-22,2001,2,Feb,22,4,8,53
2001-02-23,2001,2,Feb,23,5,8,54
2001-02-24,2001,2,Feb,24,6,8,55
2001-02-25,2001,2,Feb,25,0,8,56
2001-02-26,2001,2,Feb,26,1,9,57
2001-02-27,2001,2,Feb,27,2,9,58
2001-02-28,2001,2,Feb,28,3,9,59
2001-03-01,2001,3,Mar,1,4,9,60
2001-03-02,2001,3,Mar,2,5,9,61
2001-03-03,2001,3,Mar,3,6,9,62
2001-03-04,2001,3,Mar,4,0,9,63
2001-03-05,2001,3,Mar,5,1,10,64
2001-03-06,2001,3,Mar,6,2,10,65
2001-03-07,2001,3,Mar,7,3,10,66
2001-03-08,2001,3,Mar,8,4,10,67
2001-03-09,2001,3,Mar,9,5,10,68
2001-03-10,2001,3,Mar,10,6,10,69
2001-03-11,2001,3,Mar,11,0,10,70
2001-03-12,2001,3,Mar,12,1,11,71
2001-03-13,2001,3,Mar,13,2,11,72
2001-03-14,2001,3,Mar,14,3,11,73
2001-03-15,2001,3,Mar,15,4,11,74
2001-03-16,2001,3,Mar,16,5,11,75
2001-03-17,2001,3,Mar,17,6,11,76
2001-03-18,2001,3,Mar,18,0,11,77
2001-03-19,2001,3,Mar,19,1,12,78
2001-03-20,2001,3,Mar,20,2,12,79
2001-03-21,2001,3,Mar,21,3,12,80
2001-03-22,2001,3,Mar,22,4,12,81
2001-03-23,2001,3,Mar,23,5,12,82
2001-03-24,2001,3,Mar,24,6,12,83
2001-03-25,2001,3,Mar,25,0,12,84
2001-03-26,2001,3,Mar,26,1,13,85
2001-03-27,2001,3,Mar,27,2,13,86
2001-03-28,2001,3,Mar,28,3,13,87
2001-03-29,2001,3,Mar,29,4,13,88
2001-03-30,2001,3,Mar,30,5,13,89
2001-03-31,2001,3,Mar,31,6,13,90
2001-04-01,2001,4,Apr,1,0,13,91
2001-04-02,2001,4,Apr,2,1,14,92
2001-04-03,2001,4,Apr,3,2,14,93
2001-04-04,2001,4,Apr,4,3,14,94
2001-04-05,2001,4,Apr,5,4,14,95
2001-04-06,2001,4,Apr,6,5,14,96
2001-04-07,2001,4,Apr,7,6,14,97
2001-04-08,2001,4,Apr,8,0,14,98
2001-04-09,2001,4,Apr,9,1,15,99
2001-04-10,2001,4,Apr,10,2,15,100
2001-04-11,2001,4,Apr,11,3,15,101
2001-04-12,2001,4,Apr,12,4,15,102
2001-04-13,2001,4,Apr,13,5,15,103
2001-04-14,2001,4,Apr,14,6,15,104
2001-04-15,2001,4,Apr,15,0,15,105
2001-04-16,2001,4,Apr,16,1,16,106
2001-04-17,2001,4,Apr,17,2,16,107
2001-04-18,2001,4,Apr,18,3,16,108
2001-04-19,2001,4,Apr,19,4,16,109
2001-04-20,2001,4,Apr,20,5,16,110
2001-04-21,2001,4,Apr,21,6,16,111
2001-04-22,2001,4,Apr,22,0,16,112
2001-04-23,2001,4,Apr,23,1,17,113
2001-04-24,2001,4,Apr,24,2,17,114
2001-04-25,2001,4,Apr,25,3,17,115
2001-04-26,2001,4,Apr,26,4,17,116
2001-04-27,2001,4,Apr,27,5,17,117
2001-04-28,2001,4,Apr,28,6,17,118
2001-04-29,2001,4,Apr,29,0,17,119
2001-04-30,2001,4,Apr,30,1,18,120
2001-05-01,2001,5,May,1,2,18,121
2001-05-02,2001,5,May,2,3,18,122
2001-05-03,2001,5,May,3,4,18,123
2001-05-04,2001,5,May,4,5,18,124
2001-05-05,2001,5,May,5,6,18,125
2001-05-06,2001,5,May,6,0,18,126
2001-05-07,2001,5,May,7,1,19,127
2001-05-08,2001,5,May,8,2,19,128
2001-05-09,2001,5,May,9,3,19,129
2001-05-10,2001,5,May,10,4,19,130
2001-05-11,2001,5,May,11,5,19,131
2001-05-12,2001,5,May,12,6,19,132
2001-05-13,2001,5,May,13,0,19,133
2001-05-14,2001,5,May,14,1,20,134
2001-05-15,2001,5,May,15,2,20,135
2001-05-16,2001,5,May,16,3,20,136
2001-05-17,2001,5,May,17,4,20,137
2001-05-18,2001,5,May,18,5,20,138
2001-05-19,2001,5,May,19,6,20,139
2001-05-20,2001,5,May,20,0,20,140
2001-05-21,2001,5,May,21,1,21,141
2001-05-22,2001,5,May,22,2,21,142
2001-05-23,2001,5,May,23,3,21,143
2001-05-24,2001,5,May,24,4,21,144
2001-05-25,2001,5,May,25,5,21,145
2001-05-26,2001,5,May,26,6,21,146
2001-05-27,2001,5,May,27,0,21,147
2001-05-28,2001,5,May,28,1,22,148
2001-05-29,2001,5,May,29,2,22,149
2001-05-30,2001,5,May,30,3,22,150
2001-05-31,2001,5,May,31,4,22,151
2001-06-01,2001,6,Jun,1,5,22,152
2001-06-02,2001,6,Jun,2,6,22,153
2001-06-03,2001,6,Jun,3,0,22,154
2001-06-04,2001,6,Jun,4,1,23,155
2001-06-05,2001,6,Jun,5,2,23,156
2001-06-06,2001,6,Jun,6,3,23,157
2001-06-07,2001,6,Jun,7,4,23,158
2001-06-08,2001,6,Jun,8,5,23,159
2001-06-09,2001,6,Jun,9,6,23,160
2001-06-10,2001,6,Jun,10,0,23,161
2001-06-11,2001,6,Jun,11,1,24,162
2001-06-12,2001,6,Jun,12,2,24,163
2001-06-13,2001,6,Jun,13,3,24,164
2001-06-14,2001,6,Jun,14,4,24,165
2001-06-15,2001,6,Jun,15,5,24,166
2001-06-16,2001,6,Jun,16,6,24,167
2001-06-17,2001,6,Jun,17,0,24,168
2001-06-18,2001,6,Jun,18,1,25,169
2001-06-19,2001,6,Jun,19,2,25,170
2001-06-20,2001,6,Jun,20,3,25,171
2001-06-21,2001,6,Jun,21,4,25,172
2001-06-22,2001,6,Jun,22,5,25,173
2001-06-23,2001,6,Jun,23,6,25,174
2001-06-24,2001,6,Jun,24,0,25,175
2001-06-25,2001,6,Jun,25,1,26,176
2001-06-26,2001,6,Jun,26,2,26,177
2001-06-27,2001,6,Jun,27,3,26,178
2001-06-28,2001,6,Jun,28,4,26,179
2001-06-29,2001,6,Jun,29,5,26,180
2001-06-30,2001,6,Jun,30,6,26,181
2001-07-01,2001,7,Jul,1,0,26,182
2001-07-02,2001,7,Jul,2,1,27,183
2001-07-03,2001,7,Jul,3,2,27,184
2001-07-04,2001,7,Jul,4,3,27,185
2001-07-05,2001,7,Jul,5,4,27,186
2001-07-06,2001,7,Jul,6,5,27,187
2001-07-07,2001,7,Jul,7,6,27,188
2001-07-08,2001,7,Jul,8,0,27,189
2001-07-09,2001,7,Jul,9,1,28,190
2001-07-10,2001,7,Jul,10,2,28,191
2001-07-11,2001,7,Jul,11,3,28,192
2001-07-12,2001,7,Jul,12,4,28,193
2001-07-13,2001,7,Jul,13,5,28,194
2001-07-14,2001,7,Jul,14,6,28,195
2001-07-15,2001,7,Jul,15,0,28,196
2001-07-16,2001,7,Jul,16,1,29,197
2001-07-17,2001,7,Jul,17,2,29,198
2001-07-18,2001,7,Jul,18,3,29,199
2001-07-19,2001,7,Jul,19,4,29,200
2001-07-20,2001,7,Jul,20,5,29,201
2001-07-21,2001,7,Jul,21,6,29,202
2001-07-22,2001,7,Jul,22,0,29,203
2001-07-23,2001,7,Jul,23,1,30,204
2001-07-24,2001,7,Jul,24,2,30,205
2001-07-25,2001,7,Jul,25,3,30,206
2001-07-26,2001,7,Jul,26,4,30,207
2001-07-27,2001,7,Jul,27,5,30,208
2001-07-28,2001,7,Jul,28,6,30,209
2001-07-29,2001,7,Jul,29,0,30,210
2001-07-30,2001,7,Jul,30,1,31,211
2001-07-31,2001,7,Jul,31,2,31,212
2001-08-01,2001,8,Aug,1,3,31,213
2001-08-02,2001,8,Aug,2,4,31,214
2001-08-03,2001,8,Aug,3,5,31,215
2001-08-04,2001,8,Aug,4,6,31,216
